timestamp,src_ip,dst_ip,protocol,length,ttl,flags,src_port,dst_port,protocol_name
1762242939.815141,192.168.1.150,10.0.0.166,17,454,65,16,7501,443,UDP
1762242981.315141,172.16.162.97,192.168.1.131,6,1500,12,67,40928,26121,TCP
1762242962.215141,192.168.1.30,10.0.0.211,6,473,72,18,13045,8080,TCP
1762242940.015141,192.168.1.58,10.0.0.23,17,180,71,2,18424,80,TCP
1762242886.115141,192.168.1.161,10.0.0.173,17,401,67,24,12109,80,TCP
1762242936.715141,192.168.1.152,10.0.0.93,6,639,65,2,36187,22,UDP
1762242911.415141,192.168.1.101,10.0.0.51,6,443,62,16,10314,22,TCP
1762242962.415141,192.168.1.113,10.0.0.32,17,657,62,16,2651,443,TCP
1762242912.515141,192.168.1.229,10.0.0.1,17,706,62,16,28076,443,UDP
1762242956.315141,192.168.1.130,10.0.0.244,17,424,56,16,37972,22,TCP
1762242894.015141,192.168.1.200,10.0.0.153,6,454,59,24,46162,22,UDP
1762242954.415141,192.168.1.33,10.0.0.63,6,714,62,2,46373,443,UDP
1762242979.915141,172.16.51.32,192.168.1.230,6,1500,2,113,40051,5683,UDP
1762242925.815141,192.168.1.148,10.0.0.152,17,321,61,2,6233,443,UDP
1762242909.415141,192.168.1.152,10.0.0.80,17,418,55,24,31597,8080,UDP
1762242941.315141,192.168.1.53,10.0.0.104,6,395,67,24,36105,80,TCP
1762242956.415141,192.168.1.253,10.0.0.25,6,122,61,16,3865,8080,TCP
1762242936.415141,192.168.1.99,10.0.0.150,17,340,65,18,6530,80,TCP
1762242925.215141,192.168.1.161,10.0.0.94,6,620,73,16,40188,443,UDP
1762242913.215141,192.168.1.53,10.0.0.177,17,728,64,2,5657,443,UDP
1762242961.215141,192.168.1.224,10.0.0.49,6,567,66,18,3604,8080,TCP
1762242973.915141,172.16.100.167,192.168.1.64,17,1500,83,152,50282,43114,ICMP
1762242975.415141,172.16.91.170,192.168.1.97,17,64,36,207,40503,1771,ICMP
1762242948.815141,192.168.1.220,10.0.0.38,17,718,60,18,61228,22,UDP
1762242943.815141,192.168.1.120,10.0.0.97,6,485,62,16,27050,80,UDP
1762242949.915141,192.168.1.218,10.0.0.104,6,454,72,2,4810,22,TCP
1762242960.015141,192.168.1.227,10.0.0.199,17,637,64,2,22662,8080,UDP
1762242945.815141,192.168.1.239,10.0.0.228,17,542,61,18,16351,443,TCP
1762242969.715141,192.168.1.122,10.0.0.120,17,614,69,24,6777,22,UDP
1762242955.615141,192.168.1.43,10.0.0.180,6,515,59,16,9900,80,TCP
1762242914.815141,192.168.1.116,10.0.0.48,6,562,69,24,33181,8080,TCP
1762242950.915141,192.168.1.23,10.0.0.236,6,808,67,24,10667,80,TCP
1762242895.515141,192.168.1.217,10.0.0.224,6,773,62,24,10750,8080,UDP
1762242883.015141,192.168.1.103,10.0.0.195,6,366,60,18,44536,80,TCP
1762242982.715141,172.16.52.186,192.168.1.254,17,1500,177,171,12517,65514,TCP
1762242883.415141,192.168.1.107,10.0.0.220,6,426,64,2,8230,80,TCP
1762242968.015141,192.168.1.239,10.0.0.72,6,332,60,16,28488,8080,TCP
1762242937.315141,192.168.1.36,10.0.0.60,17,591,54,16,52846,443,TCP
1762242975.615141,172.16.21.110,192.168.1.186,1,1500,181,13,37261,9970,ICMP
1762242907.515141,192.168.1.121,10.0.0.252,6,321,69,2,18651,443,TCP
1762242922.215141,192.168.1.120,10.0.0.111,17,464,69,16,28175,8080,UDP
1762242908.015141,192.168.1.205,10.0.0.6,17,567,61,24,2490,22,TCP
1762242976.015141,172.16.139.215,192.168.1.21,17,1500,169,61,6270,35984,TCP
1762242977.515141,172.16.116.183,192.168.1.35,6,64,17,204,62818,106,ICMP
1762242951.415141,192.168.1.100,10.0.0.120,17,442,68,2,57258,80,TCP
1762242943.615141,192.168.1.147,10.0.0.38,6,881,69,2,15342,80,UDP
1762242897.715141,192.168.1.136,10.0.0.220,17,559,60,24,5066,80,TCP
1762242947.515141,192.168.1.22,10.0.0.115,17,802,59,18,20061,8080,TCP
1762242962.715141,192.168.1.112,10.0.0.49,17,474,57,24,24488,80,TCP
1762242918.115141,192.168.1.104,10.0.0.238,17,576,63,2,12593,443,UDP
1762242966.615141,192.168.1.181,10.0.0.220,6,370,67,18,28797,80,UDP
1762242927.615141,192.168.1.38,10.0.0.79,17,534,67,16,57572,22,UDP
1762242919.015141,192.168.1.222,10.0.0.115,6,618,51,2,10145,22,UDP
1762242885.715141,192.168.1.130,10.0.0.117,17,417,73,18,17687,80,TCP
1762242942.215141,192.168.1.224,10.0.0.200,6,420,59,16,48139,443,TCP
1762242951.715141,192.168.1.223,10.0.0.127,6,467,66,24,62102,8080,TCP
1762242901.415141,192.168.1.218,10.0.0.162,6,301,58,18,47875,80,TCP
1762242941.215141,192.168.1.8,10.0.0.104,6,459,63,24,31744,8080,TCP
1762242919.915141,192.168.1.244,10.0.0.185,6,233,73,16,11334,443,UDP
1762242895.415141,192.168.1.154,10.0.0.146,6,526,64,2,17733,443,UDP
1762242967.215141,192.168.1.122,10.0.0.65,17,422,74,18,1244,443,UDP
1762242897.115141,192.168.1.136,10.0.0.99,17,524,62,18,63071,8080,UDP
1762242965.615141,192.168.1.180,10.0.0.32,17,374,58,18,40279,22,TCP
1762242883.215141,192.168.1.93,10.0.0.141,6,399,68,16,23215,80,UDP
1762242960.115141,192.168.1.177,10.0.0.81,17,517,62,16,2097,80,TCP
1762242933.815141,192.168.1.104,10.0.0.203,17,636,59,2,42207,80,UDP
1762242980.215141,172.16.230.17,192.168.1.10,1,64,211,130,20761,53703,TCP
1762242969.615141,192.168.1.27,10.0.0.32,6,568,63,16,35860,8080,TCP
1762242931.015141,192.168.1.124,10.0.0.38,17,582,62,2,16990,443,TCP
1762242950.015141,192.168.1.218,10.0.0.190,6,696,58,2,22674,8080,TCP
1762242943.215141,192.168.1.114,10.0.0.231,17,315,62,16,3960,22,UDP
1762242965.915141,192.168.1.228,10.0.0.211,6,494,69,16,61117,80,TCP
1762242899.715141,192.168.1.62,10.0.0.1,17,341,62,16,5127,80,UDP
1762242948.615141,192.168.1.29,10.0.0.74,17,410,71,18,21449,8080,UDP
1762242935.415141,192.168.1.161,10.0.0.120,6,392,61,24,12730,8080,UDP
1762242979.515141,172.16.88.78,192.168.1.9,1,1500,186,32,9826,9868,TCP
1762242958.815141,192.168.1.120,10.0.0.88,6,626,64,2,32358,443,UDP
1762242970.315141,192.168.1.83,10.0.0.165,6,511,68,16,20006,443,UDP
1762242901.715141,192.168.1.103,10.0.0.3,17,524,65,2,41746,8080,TCP
1762242925.415141,192.168.1.33,10.0.0.190,6,371,65,24,44414,8080,TCP
1762242946.015141,192.168.1.96,10.0.0.216,6,300,66,18,61147,443,TCP
1762242909.215141,192.168.1.234,10.0.0.151,6,445,60,24,8857,443,UDP
1762242957.815141,192.168.1.115,10.0.0.108,6,519,64,24,2399,8080,TCP
1762242969.915141,192.168.1.5,10.0.0.235,17,734,63,2,15199,22,UDP
1762242972.515141,192.168.1.202,10.0.0.2,17,557,66,24,59779,22,TCP
1762242975.515141,172.16.250.217,192.168.1.102,6,1500,180,74,36675,12306,UDP
1762242980.615141,172.16.222.63,192.168.1.246,17,64,144,29,6863,60045,ICMP
1762242942.315141,192.168.1.116,10.0.0.42,6,423,72,18,33112,80,TCP
1762242977.215141,172.16.119.4,192.168.1.193,17,1500,54,216,45506,27182,ICMP
1762242886.515141,192.168.1.253,10.0.0.47,6,328,70,24,5005,8080,UDP
1762242942.615141,192.168.1.99,10.0.0.15,6,378,67,2,35481,443,UDP
1762242972.715141,192.168.1.19,10.0.0.47,17,498,68,2,50447,22,TCP
1762242893.515141,192.168.1.228,10.0.0.134,6,804,59,2,35060,22,UDP
1762242894.615141,192.168.1.40,10.0.0.251,17,971,67,24,1959,80,UDP
1762242896.115141,192.168.1.157,10.0.0.63,6,427,67,18,22340,22,TCP
1762242919.415141,192.168.1.252,10.0.0.119,17,501,66,16,62890,80,TCP
1762242888.015141,192.168.1.51,10.0.0.233,17,451,67,2,47459,22,UDP
1762242890.115141,192.168.1.90,10.0.0.152,17,572,65,24,62182,443,TCP
1762242952.315141,192.168.1.1,10.0.0.137,17,729,66,24,21942,80,UDP
1762242897.915141,192.168.1.163,10.0.0.197,6,365,61,18,15413,80,UDP
1762242950.115141,192.168.1.176,10.0.0.210,17,443,65,24,29730,443,TCP
1762242979.715141,172.16.92.71,192.168.1.162,1,64,179,66,35695,3982,UDP
1762242932.215141,192.168.1.116,10.0.0.10,17,490,68,18,18881,22,UDP
1762242887.915141,192.168.1.190,10.0.0.47,17,846,66,2,12111,22,TCP
1762242973.615141,172.16.151.186,192.168.1.95,1,64,217,124,18030,37388,ICMP
1762242969.315141,192.168.1.170,10.0.0.96,6,716,61,2,17276,8080,UDP
1762242928.715141,192.168.1.97,10.0.0.79,6,312,63,24,27164,22,UDP
1762242947.215141,192.168.1.192,10.0.0.130,6,382,70,24,39703,22,TCP
1762242939.015141,192.168.1.191,10.0.0.40,17,335,62,16,30855,80,TCP
1762242969.415141,192.168.1.137,10.0.0.88,6,395,62,16,42028,443,TCP
1762242885.615141,192.168.1.38,10.0.0.166,17,289,69,24,46950,443,UDP
1762242947.915141,192.168.1.76,10.0.0.26,6,557,55,18,49688,80,TCP
1762242887.215141,192.168.1.220,10.0.0.229,6,575,64,18,6597,80,UDP
1762242890.515141,192.168.1.92,10.0.0.122,17,529,63,2,44427,22,TCP
1762242978.615141,172.16.207.152,192.168.1.51,6,64,244,235,40635,63389,UDP
1762242979.015141,172.16.69.124,192.168.1.236,1,64,59,158,53503,14486,UDP
1762242921.915141,192.168.1.148,10.0.0.111,6,563,61,2,55451,8080,TCP
1762242950.415141,192.168.1.100,10.0.0.111,6,439,63,24,40473,443,TCP
1762242972.615141,192.168.1.90,10.0.0.129,6,524,67,16,28880,8080,UDP
1762242942.915141,192.168.1.52,10.0.0.33,17,292,69,24,4941,443,UDP
1762242892.715141,192.168.1.221,10.0.0.205,17,612,59,18,24406,8080,UDP
1762242927.815141,192.168.1.109,10.0.0.118,17,624,67,24,8821,8080,UDP
1762242981.415141,172.16.155.1,192.168.1.202,1,64,99,24,34842,79,TCP
1762242957.615141,192.168.1.254,10.0.0.171,17,412,64,16,50026,22,TCP
1762242922.615141,192.168.1.75,10.0.0.236,6,423,60,16,8378,80,UDP
1762242904.415141,192.168.1.13,10.0.0.226,17,335,65,16,34090,80,UDP
1762242966.815141,192.168.1.186,10.0.0.178,6,338,64,18,20961,443,UDP
1762242968.215141,192.168.1.9,10.0.0.249,17,525,68,2,57385,8080,TCP
1762242949.515141,192.168.1.244,10.0.0.107,6,329,65,16,30833,22,TCP
1762242912.315141,192.168.1.54,10.0.0.149,6,277,55,24,48104,8080,TCP
1762242909.515141,192.168.1.207,10.0.0.95,6,647,61,16,32395,8080,TCP
1762242887.715141,192.168.1.190,10.0.0.185,6,475,57,18,15565,8080,UDP
1762242909.815141,192.168.1.160,10.0.0.144,17,391,69,24,35444,8080,UDP
1762242973.215141,172.16.136.218,192.168.1.143,1,1500,54,8,28802,4887,TCP
1762242947.315141,192.168.1.191,10.0.0.155,6,591,58,2,45487,443,TCP
1762242981.915141,172.16.180.230,192.168.1.213,6,1500,32,162,57266,8418,ICMP
1762242968.415141,192.168.1.186,10.0.0.229,6,543,72,16,38368,443,TCP
1762242968.815141,192.168.1.230,10.0.0.92,6,606,65,24,48999,80,TCP
1762242981.115141,172.16.224.15,192.168.1.240,6,1500,14,2,62363,52919,ICMP
1762242918.215141,192.168.1.129,10.0.0.107,6,135,67,16,14053,443,TCP
1762242959.315141,192.168.1.249,10.0.0.235,17,580,65,2,39377,80,UDP
1762242900.315141,192.168.1.214,10.0.0.193,6,564,63,16,48315,8080,TCP
1762242928.115141,192.168.1.8,10.0.0.248,17,617,59,24,20902,80,TCP
1762242960.915141,192.168.1.152,10.0.0.63,6,637,67,16,35948,22,UDP
1762242948.215141,192.168.1.179,10.0.0.69,6,361,57,18,26449,443,TCP
1762242903.615141,192.168.1.229,10.0.0.142,6,346,64,24,3059,22,UDP
1762242977.815141,172.16.66.199,192.168.1.103,1,1500,159,205,41557,34715,TCP
1762242930.215141,192.168.1.172,10.0.0.20,6,876,62,16,49873,22,TCP
1762242945.015141,192.168.1.127,10.0.0.123,17,370,67,16,49243,80,UDP
1762242926.315141,192.168.1.195,10.0.0.243,17,551,68,2,10951,443,UDP
1762242965.215141,192.168.1.69,10.0.0.157,17,504,58,18,56255,80,TCP
1762242892.615141,192.168.1.54,10.0.0.212,17,445,65,2,17779,443,TCP
1762242934.315141,192.168.1.175,10.0.0.163,6,448,63,16,58632,80,TCP
1762242914.515141,192.168.1.38,10.0.0.94,6,173,67,18,61378,80,UDP
1762242891.715141,192.168.1.50,10.0.0.228,6,333,65,16,61840,8080,TCP
1762242916.915141,192.168.1.195,10.0.0.216,17,314,62,2,37382,8080,TCP
1762242981.015141,172.16.81.86,192.168.1.70,6,64,135,61,56023,1525,UDP
1762242894.915141,192.168.1.237,10.0.0.119,6,525,61,16,58067,22,TCP
1762242974.315141,172.16.216.39,192.168.1.250,17,64,51,169,3896,7857,TCP
1762242979.815141,172.16.164.48,192.168.1.188,1,1500,212,29,58697,9494,ICMP
1762242950.215141,192.168.1.85,10.0.0.217,17,443,54,24,10214,8080,TCP
1762242927.915141,192.168.1.51,10.0.0.113,17,619,64,18,51037,80,UDP
1762242975.315141,172.16.65.51,192.168.1.11,1,64,68,230,33654,22369,TCP
1762242946.415141,192.168.1.89,10.0.0.157,6,510,62,2,63736,80,TCP
1762242884.315141,192.168.1.203,10.0.0.167,17,478,62,2,14234,443,UDP
1762242973.515141,172.16.229.3,192.168.1.48,6,1500,183,28,8013,53088,UDP
1762242933.415141,192.168.1.223,10.0.0.101,6,289,66,2,23390,80,UDP
1762242891.815141,192.168.1.104,10.0.0.192,6,620,64,24,26280,80,UDP
1762242953.315141,192.168.1.241,10.0.0.1,17,708,56,18,60668,80,TCP
1762242932.815141,192.168.1.161,10.0.0.13,6,607,80,18,56822,443,TCP
1762242918.515141,192.168.1.185,10.0.0.237,6,458,69,2,59040,443,UDP
1762242945.915141,192.168.1.34,10.0.0.109,17,435,63,2,13779,22,UDP
1762242883.315141,192.168.1.15,10.0.0.242,17,157,67,18,22291,22,TCP
1762242974.715141,172.16.5.16,192.168.1.126,17,64,109,3,40098,35791,TCP
1762242961.315141,192.168.1.37,10.0.0.71,6,338,64,2,41049,8080,UDP
1762242982.215141,172.16.90.93,192.168.1.230,6,1500,81,136,12455,37922,ICMP
1762242915.815141,192.168.1.187,10.0.0.180,6,640,67,16,28265,80,TCP
1762242918.415141,192.168.1.220,10.0.0.252,17,273,67,2,46899,80,UDP
1762242958.415141,192.168.1.114,10.0.0.199,6,722,64,24,53710,443,TCP
1762242934.415141,192.168.1.86,10.0.0.94,17,609,71,18,42937,8080,UDP
1762242898.315141,192.168.1.234,10.0.0.3,6,619,59,24,29203,443,TCP
1762242917.115141,192.168.1.148,10.0.0.109,17,680,66,2,43856,80,TCP
1762242927.215141,192.168.1.119,10.0.0.212,17,351,56,2,47645,443,TCP
1762242893.915141,192.168.1.15,10.0.0.47,17,836,70,16,21979,80,TCP
1762242940.815141,192.168.1.235,10.0.0.247,6,737,75,2,45463,22,UDP
1762242923.715141,192.168.1.217,10.0.0.184,17,590,70,18,37507,22,UDP
1762242908.115141,192.168.1.233,10.0.0.53,17,420,66,18,31795,22,TCP
1762242955.915141,192.168.1.141,10.0.0.154,17,545,73,18,64747,80,TCP
1762242958.515141,192.168.1.237,10.0.0.180,17,393,61,24,20704,80,TCP
1762242953.815141,192.168.1.84,10.0.0.110,17,527,67,2,6754,443,UDP
1762242909.315141,192.168.1.172,10.0.0.183,6,432,65,18,2917,8080,UDP
1762242969.515141,192.168.1.178,10.0.0.78,6,568,65,24,41605,8080,UDP
1762242963.615141,192.168.1.189,10.0.0.78,6,488,63,18,40956,22,TCP
1762242883.915141,192.168.1.122,10.0.0.200,6,691,69,16,17019,443,TCP
1762242884.715141,192.168.1.104,10.0.0.92,17,253,66,18,6221,22,TCP
1762242925.515141,192.168.1.142,10.0.0.62,6,536,58,24,50617,443,TCP
1762242936.115141,192.168.1.170,10.0.0.1,6,516,60,2,1948,22,TCP
1762242902.215141,192.168.1.90,10.0.0.54,6,219,65,2,42636,22,TCP
1762242941.715141,192.168.1.5,10.0.0.198,6,681,61,16,39623,80,TCP
1762242947.115141,192.168.1.231,10.0.0.173,6,474,77,24,15311,22,TCP
1762242940.215141,192.168.1.49,10.0.0.143,17,519,65,2,3086,22,TCP
1762242885.915141,192.168.1.188,10.0.0.58,17,455,65,18,54153,22,TCP
1762242918.015141,192.168.1.82,10.0.0.151,6,588,62,2,46460,443,TCP
1762242941.415141,192.168.1.60,10.0.0.179,17,385,64,18,10730,22,UDP
1762242899.415141,192.168.1.48,10.0.0.78,17,547,56,18,29596,22,UDP
1762242907.715141,192.168.1.190,10.0.0.216,6,258,66,2,50018,22,UDP
1762242927.715141,192.168.1.230,10.0.0.134,17,535,63,24,27147,443,TCP
1762242934.815141,192.168.1.155,10.0.0.62,6,632,70,2,41412,443,UDP
1762242971.015141,192.168.1.145,10.0.0.210,17,211,64,2,58641,8080,UDP
1762242889.715141,192.168.1.14,10.0.0.16,6,518,56,18,11924,8080,UDP
1762242912.615141,192.168.1.224,10.0.0.133,6,410,56,18,42774,443,TCP
1762242960.815141,192.168.1.96,10.0.0.220,17,534,57,16,5364,80,UDP
1762242913.615141,192.168.1.198,10.0.0.155,17,411,65,24,47570,80,TCP
1762242954.815141,192.168.1.171,10.0.0.168,17,445,64,16,43003,443,UDP
1762242898.615141,192.168.1.41,10.0.0.229,6,537,72,16,19648,443,UDP
1762242893.615141,192.168.1.14,10.0.0.82,6,631,62,16,41246,22,UDP
1762242917.915141,192.168.1.39,10.0.0.111,17,522,65,18,23023,8080,UDP
1762242955.315141,192.168.1.161,10.0.0.53,17,497,63,2,46063,8080,UDP
1762242907.415141,192.168.1.129,10.0.0.17,6,269,65,16,25513,443,UDP
1762242890.015141,192.168.1.9,10.0.0.204,17,391,68,2,6605,80,UDP
1762242965.715141,192.168.1.123,10.0.0.10,6,433,58,24,64236,8080,TCP
1762242889.015141,192.168.1.21,10.0.0.144,17,268,66,18,18070,80,TCP
1762242964.315141,192.168.1.206,10.0.0.113,17,564,69,24,30887,80,TCP
1762242976.715141,172.16.201.96,192.168.1.164,1,1500,44,185,65329,49905,ICMP
1762242903.215141,192.168.1.253,10.0.0.151,17,255,69,18,62293,22,UDP
1762242943.915141,192.168.1.63,10.0.0.253,6,451,70,2,28696,80,UDP
1762242907.015141,192.168.1.217,10.0.0.138,6,314,58,2,34733,8080,TCP
1762242936.315141,192.168.1.26,10.0.0.64,17,366,62,24,27502,8080,UDP
1762242976.215141,172.16.102.38,192.168.1.223,1,64,22,63,63029,39463,UDP
1762242893.115141,192.168.1.44,10.0.0.141,17,299,63,18,3277,8080,TCP
1762242955.215141,192.168.1.65,10.0.0.201,17,552,60,16,24091,443,TCP
1762242926.015141,192.168.1.128,10.0.0.137,17,699,64,18,7557,80,UDP
1762242895.315141,192.168.1.24,10.0.0.65,17,548,64,16,49948,8080,UDP
1762242975.115141,172.16.1.248,192.168.1.29,6,64,100,176,18175,38507,UDP
1762242955.015141,192.168.1.12,10.0.0.149,6,365,55,24,16021,80,UDP
1762242891.015141,192.168.1.253,10.0.0.186,6,592,68,16,61581,22,TCP
1762242924.615141,192.168.1.54,10.0.0.21,6,548,60,18,31523,443,UDP
1762242890.615141,192.168.1.111,10.0.0.92,17,527,63,24,59279,8080,UDP
